,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,7.099369385577912e-05
13,Financing cash outflow,Desalination,0.0006858092699294191
14,Operating Expenses,Desalination Fixed O&M Cost,0.0030279102654541725
15,Financing cash outflow,Compression,0.00746180569152937
16,Operating Expenses,Water,0.008292914934426387
17,Operating Expenses,Cash on hand reserve,0.018945567229781038
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.03179637162935093
19,Financing cash outflow,Battery Storage,0.0423951621724679
20,Operating Expenses,Var O&M,0.07323250439715606
21,Operating Expenses,Property insurance,0.09758359576725831
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.15266483926746743
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.24535420596557264
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.3047299238092413
25,Financing cash outflow,Solar Plant,0.4658322216040803
26,Financing cash outflow,Hydrogen Storage,0.5597544411952969
27,Financing cash outflow,Wind Plant,0.5962887431338386
28,Financing cash outflow,Income taxes payable,0.6039823804731254
29,Financing cash outflow,Electrolysis system,1.2351882193716643
30,Financing cash outflow,Repayment of debt,1.4385444461000232
31,Financing cash outflow,Interest expense,2.193643301593302
32,Financing cash outflow,Dividends paid,3.3318360086395207
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,7.099369385577912e-05
37,Operating Revenue,Cash on hand recovery,0.018945567229781038
38,Financing cash inflow,One time capital incentive,0.0640789094983107
39,Financing cash inflow,Monetized tax losses,0.6473321675535761
40,Financing cash inflow,Inflow of debt,1.4385444461000232
41,Financing cash inflow,Inflow of equity,2.3566319163136207
42,Operating Revenue,Hydrogen sales,6.885707365815174
