,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,0.00010484625841421173
13,Financing cash outflow,Desalination,0.0006945119322911257
14,Operating Expenses,Desalination Fixed O&M Cost,0.003066333310836024
15,Operating Expenses,Cash on hand reserve,0.007839380125473364
16,Operating Expenses,Water,0.008292914934426385
17,Financing cash outflow,Compression,0.008410953377476087
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02550028758647092
19,Financing cash outflow,Battery Storage,0.034000383448627894
20,Operating Expenses,Property insurance,0.04237066405976311
21,Financing cash outflow,Hydrogen Storage,0.06979400690887688
22,Operating Expenses,Var O&M,0.07336981867042582
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.09058716726987893
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.15460209880726006
25,Financing cash outflow,Solar Plant,0.18389194955785423
26,Financing cash outflow,Income taxes payable,0.2636372592292415
27,Financing cash outflow,Electrolysis system,0.3234335686526086
28,Operating Expenses,Wind Plant Fixed O&M Cost,0.41375688650517206
29,Financing cash outflow,Wind Plant,0.6424170141278005
30,Financing cash outflow,Repayment of debt,0.7689889097038743
31,Financing cash outflow,Interest expense,1.1336417522324684
32,Financing cash outflow,Dividends paid,1.2242051728064032
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.004501965067363819
38,Operating Revenue,Cash on hand recovery,0.007839380125473363
39,Financing cash inflow,Monetized tax losses,0.2299398621002177
40,Financing cash inflow,Inflow of debt,0.7689889097038743
41,Financing cash inflow,Inflow of equity,1.1269880511746515
42,Operating Revenue,Hydrogen sales,3.3343477113340634
