,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,0.00010775151963802402
13,Financing cash outflow,Desalination,0.0005650573625677204
14,Operating Expenses,Desalination Fixed O&M Cost,0.0024947796183410363
15,Financing cash outflow,Compression,0.005849554804500089
16,Operating Expenses,Water,0.012824095259422246
17,Operating Expenses,Cash on hand reserve,0.018058836743594143
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02778566886601798
19,Financing cash outflow,Battery Storage,0.03704755848802398
20,Operating Expenses,Var O&M,0.07434647687755892
21,Operating Expenses,Property insurance,0.1012009656647805
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.12578481396464375
23,Operating Expenses,Wind Plant Fixed O&M Cost,0.3673247580435925
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.37238925186901106
25,Financing cash outflow,Wind Plant,0.619554425233526
26,Financing cash outflow,Hydrogen Storage,0.6271870915777442
27,Financing cash outflow,Solar Plant,0.7070223712568584
28,Financing cash outflow,Income taxes payable,0.841845145814029
29,Financing cash outflow,Electrolysis system,1.017705983450329
30,Financing cash outflow,Repayment of debt,1.6525033563972842
31,Financing cash outflow,Interest expense,2.5003829575554093
32,Financing cash outflow,Dividends paid,3.722963106912396
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00010775151963637987
38,Operating Revenue,Cash on hand recovery,0.018058836743594146
39,Financing cash inflow,Monetized tax losses,0.46164472617895547
40,Financing cash inflow,Inflow of debt,1.6525033563972842
41,Financing cash inflow,Inflow of equity,2.626083419185103
42,Operating Revenue,Hydrogen sales,8.076545917254695
