,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,0.00010768051768826144
13,Financing cash outflow,Desalination,0.0006835660802464481
14,Operating Expenses,Desalination Fixed O&M Cost,0.0030180063791023183
15,Financing cash outflow,Compression,0.00812968337130958
16,Operating Expenses,Water,0.012824095259422248
17,Operating Expenses,Cash on hand reserve,0.015194492765970222
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.027684015014545885
19,Financing cash outflow,Battery Storage,0.03691202001939452
20,Operating Expenses,Var O&M,0.07358808156178596
21,Operating Expenses,Property insurance,0.0840839287379899
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.15216549315563602
23,Operating Expenses,Wind Plant Fixed O&M Cost,0.29850590102640784
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.32562588548930255
25,Financing cash outflow,Wind Plant,0.4872386642560076
26,Financing cash outflow,Hydrogen Storage,0.5404334920078291
27,Financing cash outflow,Solar Plant,0.6838143595275354
28,Financing cash outflow,Income taxes payable,0.6922107295039521
29,Financing cash outflow,Electrolysis system,0.7475339712846596
30,Financing cash outflow,Repayment of debt,1.4144605032628634
31,Financing cash outflow,Interest expense,2.1342542673644975
32,Financing cash outflow,Dividends paid,3.070694841173267
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00010768051769072605
38,Operating Revenue,Cash on hand recovery,0.015194492765970222
39,Financing cash inflow,Monetized tax losses,0.3992953580632419
40,Financing cash inflow,Inflow of debt,1.4144605032628634
41,Financing cash inflow,Inflow of equity,2.22563285658946
42,Operating Revenue,Hydrogen sales,6.7544727865601875
